branch_code,branch_name,branch_address,fbank_code,fstate_code2
5082,Mantin,"1, Jalan Besar, 
Kawasan Hijau,
71700 Mantin
Negeri Sembilan",101,NS
5103,Nilai,"PT 7443, Jalan BBN 1/2F
Bandar Baru Nilai
71800 Nilai
Negeri Sembilan",101,NS
5046,Port Dickson,"2-G-09 & 2-1-09, Persiaran Waterfront, PD Waterfront, 71000 Port Dickson",101,NS
5019,Seremban ,"166-169, Jalan Dato\ Bandar Tunggal, 
70000 Seremban, P.O. Box 163,
70720 Seremban
Negeri Sembilan",101,NS
5130,Rahang ,"56 & 57, Jalan Tuanku Antah,
70000 Seremban
Negeri Sembilan",101,NS
5121,Senawang,"73 & 74, Jalan Taman Komersil Senawang 4
Taman Komersil Senawang
70450 Seremban
Negeri Sembilan",101,NS
5176,Seremban 2,"No 36 & 37, Jalan S2 B18
Biz Avenue, Seremban 2
70300 Seremban
Negeri Sembilan",101,NS
7134,Bayan Lepas,"Bayan Lepas SSC
1-2-25, 1-2-26, 1-1-28 & 1-2-28
iAvenue Medan Kampung Relau 1
11900 Bayan Lepas
Pulau Pinang",101,PP
7394,Relau ,"No 9 & 9A, Jln Relau,
11900 Pulau Pinang.",101,PP
7095,"Bandar Perda, Bukit Mertajam ","447, 448 & 449,
Jalan Permatang Rawa,
Bandar Perda,
14000 Bukit Mertajam
Pulau Pinang",101,PP
7321,Alma,"2873 & 2874,
Pusat Perniagaan Rozhan,
Jalan Rozhan, Alma,
14000 Bukit Mertajam,
Pulau Pinang",101,PP
7116,Butterworth ,"4277, Bagan Luar Road,
12000 Butterworth
Pulau Pinang",101,PP
7077,Penang Times Square,"Lots 77-G-13, 14, 15 & 16, Penang Times Square, Jalan Dato Kramat, 10150 Georgetown, Penang",101,PP
7152,Gelugor,"345-H, Bangunan Kelab Gelugor,
Jalan Sultan Azlan,
11700 Gelugor, Penang
Pulau Pinang",101,PP
7031,Jelutong,"552-556, Jalan Jelutong,
11600 Penang
Pulau Pinang",101,PP
7125,Kampong Bharu,"38-C, D & E, Jalan Air Itam,
11500 Penang
Pulau Pinang",101,PP
7330,Bandar Baru Air Itam ,"48 & 50, Lintang Angsana,
Bdr Baru Ayer Itam,
11500 Ayer Itam
Pulau Pinang",101,PP
7107,Nibong Tebal,"3615-6, Jalan Che Ahmad,
Bandar Nibong Tebal,
14300 Nibong Tebal, Penang
Pulau Pinang",101,PP
7013,Penang Main ,"9, Lebuh Union, 
10200 Penang,
P.O. Box 297, 
10730 Penang
Pulau Pinang",101,PP
7059,Penang Road,"1, Arked Ria Satu,
KOMTAR, 10000 Penang
Pulau Pinang",101,PP
7161,Prai Industrial Estate,"No. 2741, 2742 & 2743,
Jalan Chain Ferry,
Taman Inderawasih,
13600 Prai
Pulau Pinang",101,PP
7068,Pulau Tikus ,"Grd. Floor, Canton Square
56, Cantomnent Road,
10250 Penang
Pulau Pinang",101,PP
7143,Tanjong Bungah,"2C-2G, Azuria Business Centre,
Jalan Lembah Permai, Tanjung Bungah,
11200 Penang
Pulau Pinang",101,PP
7040,Plaza MWE,"Ground Floor, Plaza MWE,
8, Lebuh Farquhar,
10200 Penang
Pulau Pinang",101,PP
7228,Simpang Ampat ,"1637 & 1638,
Jalan Bukit Tambun,
Simpang Ampat,
Seberang Perai Selatan,
14100 Pulau Pinang
Pulau Pinang",101,PP
7246,Greenlane ,"10-D, Jalan Masjid Negeri,
11600 Georgetown, Penang
Pulau Pinang",101,PP
7255,"Sungai Dua, Butterworth ","21 & 23 Lorong Murni 6,
Taman Desa Murni,
13800, Sungai Dua, Butterworth
Pulau Pinang",101,PP
7415,Bertam,"1, Lorong Bertam Indah 4/9,
Taman Bertam Indah,
13200 Kepala Batas,
Seberang Perai
Pulau Pinang",101,PP
7086,Balik Pulau,"2, Jalan Quah Sin Kheng,
11000 Balik Pulau,
Pulau Pinang
Pulau Pinang",101,PP
7170,Jalan Ong Yi How,"6993, Jalan Ong Yi How,
13450 Butterworth, Penang
Pulau Pinang",101,PP
7406,Seberang Jaya ,"No 5, Jln Todak 2,
Bdr Baru Seberang Jaya,
13700 Seberang Jaya
Pulau Pinang",101,PP
7303,Juru,"1797-G-1 Kompleks Auto World
Jalan Perusahaan
Juru Interchange
13600 Prai, Penang.
Pulau Pinang",101,PP
7424,Queensbay Mall ,"1F-27 (1F-02) First Floor
Queensbay Mall
100 Persiaran Bayan Indah
11900 Bayan Lepas, Penang
Pulau Pinang",101,PP
7433,Wisma Jelutong,"Wisma Jelutong Ground & 1st Floor, 222 Jalan Jelutong, 11600 Penang",101,PP
7442,Tasek Gelugor,"3028 & 3029 Taman Gelugor Indah
Jalan Hasyim Awang
Tasek Gelugor
13000 Seberang Perai Utara
Pulau Pinang",101,PP
2027,Alor Setar Main ,"1535, Jalan Sultan Badlishah,
05000 Alor Star,
P.O. Box 82,
05710 Alor Star,
Kedah",101,KDH
2045,Baling,"63-D, Jalan Badlishah,
09100 Baling,
Kedah",101,KDH
2063,Jitra,"175 & 176, Jalan PJ 7,
Pekan Jitra 2,
06000 Jitra,
Kedah",101,KDH
2102,Taman Ria Jaya,"138 & 139,
Jalan Kelab Cinta Sayang,
Taman Ria Jaya,
08000 Sungai Petani,
Kedah",101,KDH
2090,Mergong,"105A & B Seberang Jalan Putra,
05150 Alor Star,
Kedah",101,KDH
2072,Pulau Langkawi,"5-11, Jalan Pandak Mayah 1,
Pusat Bandar Kuah,
07000 Langkawi,
Kedah",101,KDH
2054,Sungai Petani ,"G27, Ground Floor,
Central Square Complex,
23, Jln Kampung Baru,
08000 Sg Petani,
Kedah",101,KDH
2111,Kulim Hi-Tech Park,"Suite B-2, Ground Floor,
KHTP Business Centre,
Kulim Hi-Tech Park,
09000 Kulim
Kedah",101,KDH
2120,Gurun ,"4 & 5 Jalan Jerai 1,
Taman Jerai Maju,
08300 Gurun,
Kedah",101,KDH
2036,Kulim,"254, Jalan Tuanku Putra,
09000 Kulim,
Kedah",101,KDH
2175,Simpang Kuala ,"Ground Floor, 48 & 49,
Pekan Simpang Kuala,
Lebuhraya Sultan Abdul Halim,
05400 Alor Setar
Kedah",101,KDH
2184,Lagenda Height ,"Lot 101-103 Jalan Lagenda 1, 
Lagenda Heights, 08000 
Sungai Petani, Kedah",101,KDH
2214,Changlun,"No 1 , Jalan Khaya 1, Taman Khaya, 06010 Changlun Kedah",101,KDH
9017,Kangar,"Upper Grd. Floor, Menara KWSP, 
Jalan Bukit Lagi, 01000 Kangar, 
P.O. Box 38, 01700 Kangar, Perlis",101,PLS
8243,Bagan Serai,"100, Jalan Besar,
34300 Bagan Serai
Perak",101,PRK
8113,Batu Gajah,"Lot 1 & 2,
Jalan Pejabat Pos,
31000 Batu Gajah
Perak",101,PRK
8104,Bidor,"16-17, Jalan Persatuan,
35500 Bidor
Perak",101,PRK
6043,Cameron Highlands,"69-70, Persiaran Camellia 4,
39000 Tanah Rata
Perak",101,PRK
8074,Gerik,"No 77 & 79, Jln Takong Datok, 33300 Gerik, Perak",101,PRK
8177,Ipoh Garden ,"112, Jalan Canning Estate,
Ipoh Garden, 
31400 Ipoh
Perak",101,PRK
8010,Ipoh Main,"Bangunan Mayban Trust,
28, Jalan Tun Sambanthan,
30000 Ipoh,
P.O. Box 450,
30912 Ipoh
Perak",101,PRK
8225,Jelapang,"277-281, Jalan Silibin,
30100 Ipoh
Perak",101,PRK
8029,Jalan Sultan Idris Shah ,"194-206, Ground Floor, 
Jalan Sultan Idris,
30000 Ipoh
Perak",101,PRK
8047,Kampar,"154-156, Jalan Gopeng,
31900 Kampar
Perak",101,PRK
8092,Kuala Kangsar,"68-70, Jalan Raja Bendahara,
Fasa II Bandar Baru,
33000 Kuala Kangsar
Perak",101,PRK
8168,Lumut,"10, Jalan Sultan Idris Shah,
32200 Lumut
Perak",101,PRK
8140,Menglembu,"Jalan Tranchell,
31450 Ipoh
Perak",101,PRK
8186,Pantai Remis,"Lots 2725-6, Jalan Besar,
34900 Pantai Remis
Perak",101,PRK
8038,Pasir Putih,"211-1,213 & 213-1, 
Jalan Pasir Putih, 31650 Ipoh
Perak",101,PRK
8270,"Station 18, Ipoh","No 41 & 43 Susuran Stesen 18, Station 18, 31650 Ipoh, Perak ",101,PRK
8207,Sungai Siput,"188 Jalan Besar,
31100 Sungai Siput(U)
Perak",101,PRK
8056,Taiping ,"234-237 Jalan Chung Thye Phin
34000 Taiping
Perak",101,PRK
8083,Tanjong Malim,"Jalan Chong Ah Peng,
35900 Tanjung Malim
Perak",101,PRK
8122,Tapah,"Jalan Besar,
35000 Tapah
Perak",101,PRK
8065,Teluk Intan,"43-45 Medan Mahkota,
Jalan Ah Cheng,
36000 Telok Intan
Perak",101,PRK
